rank,country,gdp_nominal_millions_of_us,gdp_nominal_percapita_us,gdp_nominal_billions_of_us,population
7,Dominican Republic,127830,11740,127.83,10711155
19,Haiti,33550,2670,33.55,9801664
18,Trinidad and Tobago,26470,18440,26.47,1365805
20,Guyana,25820,32330,25.82,743699
21,Jamaica,21098,7780,21.098,2734092
23,The Bahamas,15180,36780,15.18,395640
24,Barbados,7553,25900,7.553,269090
25,Suriname,4510,6860,4.51,616500
26,Belize,3610,8650,3.61,441471
27,Saint Lucia,2630,14500,2.63,178696
28,Antigua and Barbuda,2370,22630,2.37,100772
29,Grenada,1460,12590,1.46,112579
30,Saint Kitts and Nevis,1130,21910,1.13,47195
31,Saint Vincent and the Grenadines,1240,11160,1.24,110418
32,Dominica,748,9870,0.748,71293
